freq mag
1000 870.201
1438.45 914.172
2069.14 909.832
2976.35 864.496
4281.33 904.909
6158.48 847.487
8858.67 897.524
12742.7 848.163
18329.8 861.762
26366.5 810.957
37926.9 739.867
54555.9 709.961
78476 637.822
112884 506.973
162378 461.71
233572 405.683
335982 335.499
483293 272.529
695193 255.601
1e+06 235.215

