freq ph
1000 0.910921
1438.45 1.42365
2069.14 1.65267
2976.35 2.25423
4281.33 2.65073
6158.48 4.93985
8858.67 5.96419
12742.7 9.04604
18329.8 11.822
26366.5 14.7605
37926.9 18.9844
54555.9 23.8428
78476 28.1085
112884 31.2312
162378 32.4229
233572 31.3465
335982 29.7484
483293 28.2681
695193 25.2604
1e+06 24.9021

