freq mag
1000 855.114
1438.45 890.736
2069.14 886.688
2976.35 904.544
4281.33 890.602
6158.48 885.383
8858.67 848.954
12742.7 840.836
18329.8 808.859
26366.5 827.087
37926.9 762.985
54555.9 684.941
78476 636.831
112884 522.031
162378 437.019
233572 360.99
335982 323.586
483293 319.656
695193 276.564
1e+06 229.467

