freq ph
1000 1.42553
1438.45 2.04891
2069.14 2.16096
2976.35 1.93397
4281.33 3.55894
6158.48 4.51319
8858.67 6.88191
12742.7 7.51326
18329.8 10.7591
26366.5 14.6056
37926.9 19.5331
54555.9 23.8661
78476 27.5623
112884 31.0306
162378 32.6072
233572 31.3435
335982 29.8701
483293 28.7138
695193 25.6584
1e+06 24.4228

