freq mag
1000 918.733
1438.45 868.902
2069.14 870.346
2976.35 868.655
4281.33 854.439
6158.48 891.804
8858.67 869.848
12742.7 867.344
18329.8 816.763
26366.5 795.319
37926.9 734.848
54555.9 699.732
78476 634.64
112884 529.106
162378 447.472
233572 405.217
335982 352.86
483293 305.066
695193 253.19
1e+06 215.8

