freq mag
1000 740.811
1438.45 723.103
2069.14 729.344
2976.35 717.491
4281.33 714.469
6158.48 703.446
8858.67 709.439
12742.7 710.652
18329.8 656.788
26366.5 641.937
37926.9 585.277
54555.9 532.226
78476 452.344
112884 358.934
162378 319.118
233572 238.346
335982 191.11
483293 155.252
695193 116.594
1e+06 82.2722

