freq ph
1000 0.358407
1438.45 -0.604997
2069.14 1.08765
2976.35 0.659802
4281.33 3.25561
6158.48 4.39995
8858.67 6.33756
12742.7 8.57065
18329.8 11.9908
26366.5 17.1168
37926.9 21.4615
54555.9 29.6607
78476 34.9041
112884 41.5289
162378 46.9093
233572 48.1433
335982 48.3995
483293 46.7476
695193 42.2228
1e+06 37.6891

