freq mag
1000 756.79
1438.45 745.55
2069.14 725.714
2976.35 752.996
4281.33 734.884
6158.48 726.538
8858.67 682.737
12742.7 708.731
18329.8 680.429
26366.5 622.735
37926.9 611.599
54555.9 539.433
78476 443.875
112884 365.991
162378 319.445
233572 221.171
335982 162.072
483293 149.949
695193 123.104
1e+06 83.164

