freq ph
1000 0.224477
1438.45 0.223785
2069.14 1.30436
2976.35 2.0455
4281.33 2.94613
6158.48 3.96518
8858.67 5.89784
12742.7 8.12906
18329.8 11.8949
26366.5 15.9136
37926.9 22.8756
54555.9 28.6799
78476 36.308
112884 41.7983
162378 46.0973
233572 49.1609
335982 48.2862
483293 46.2535
695193 42.9934
1e+06 38.8642

