freq ph
1000 0.527983
1438.45 0.906043
2069.14 0.790143
2976.35 1.35268
4281.33 3.22366
6158.48 3.18919
8858.67 6.41779
12742.7 8.05385
18329.8 13.1919
26366.5 17.0484
37926.9 21.6323
54555.9 29.8564
78476 34.5065
112884 40.7597
162378 45.3852
233572 49.4527
335982 48.4313
483293 45.9863
695193 43.0173
1e+06 37.4068

