freq mag
1000 764.059
1438.45 760.684
2069.14 722.006
2976.35 732.061
4281.33 718.602
6158.48 734.909
8858.67 726.946
12742.7 663.419
18329.8 687.374
26366.5 610.095
37926.9 570.025
54555.9 517.459
78476 480.189
112884 378.745
162378 286.66
233572 246.786
335982 204.341
483293 152.063
695193 102.36
1e+06 92.0765

